estado,codigo_estado,data,semana_epidem,populacao,populacao_2019,is_last,is_repeated,casos_confirmados,casos_por_100k_habitantes,data_atualizacao,taxa_mortalidade,obitos,estado,casos_novos,obitos_novos
São Paulo,35.0,2020-08-29,202035,46289333.0,45919049.0,False,False,801422,1731.3319199999999,2020-08-29,0.0374,29944,SP,5213,250
São Paulo,35.0,2020-08-30,202036,46289333.0,45919049.0,False,False,803404,1735.61369,2020-08-30,0.0373,29978,SP,1982,34
São Paulo,35.0,2020-08-31,202036,46289333.0,45919049.0,False,False,804342,1737.64007,2020-08-31,0.0373,30014,SP,938,36
São Paulo,35.0,2020-09-01,202036,46289333.0,45919049.0,False,False,814375,1759.3146100000001,2020-09-01,0.0373,30375,SP,10033,361
São Paulo,35.0,2020-09-02,202036,46289333.0,45919049.0,False,False,826331,1785.1434600000002,2020-09-02,0.0371,30673,SP,11956,298
São Paulo,35.0,2020-09-03,202036,46289333.0,45919049.0,False,False,837978,1810.3047600000002,2020-09-03,0.0369,30905,SP,11647,232
São Paulo,35.0,2020-09-04,202036,46289333.0,45919049.0,False,False,845016,1825.5091300000001,2020-09-04,0.0368,31091,SP,7038,186
São Paulo,35.0,2020-09-05,202036,46289333.0,45919049.0,False,False,853085,1842.9407899999999,2020-09-05,0.0367,31313,SP,8069,222
São Paulo,35.0,2020-09-06,202037,46289333.0,45919049.0,False,False,855722,1848.6375699999999,2020-09-06,0.0366,31353,SP,2637,40
São Paulo,35.0,2020-09-07,202037,46289333.0,45919049.0,False,False,857330,1852.1113699999999,2020-09-07,0.0366,31377,SP,1608,24
São Paulo,35.0,2020-09-08,202037,46289333.0,45919049.0,False,False,858783,1855.2503199999999,2020-09-08,0.0366,31430,SP,1453,53
São Paulo,35.0,2020-09-09,202037,46289333.0,45919049.0,False,False,866576,1872.0857399999998,2020-09-09,0.0367,31821,SP,7793,391
São Paulo,35.0,2020-09-10,202037,46289333.0,45919049.0,False,False,874754,1889.75287,2020-09-10,0.0367,32104,SP,8178,283
São Paulo,35.0,2020-09-11,202037,46289333.0,45919049.0,False,False,882809,1907.15429,2020-09-11,0.0366,32338,SP,8055,234
São Paulo,35.0,2020-09-12,202037,46289333.0,45919049.0,False,False,890690,1924.17981,2020-09-12,0.0366,32567,SP,7881,229
São Paulo,35.0,2020-09-13,202038,46289333.0,45919049.0,False,False,892257,1927.56504,2020-09-13,0.0365,32606,SP,1567,39
São Paulo,35.0,2020-09-14,202038,46289333.0,45919049.0,False,False,893349,1929.9241100000002,2020-09-14,0.0365,32642,SP,1092,36
São Paulo,35.0,2020-09-15,202038,46289333.0,45919049.0,False,False,901271,1947.0382100000002,2020-09-15,0.0366,32963,SP,7922,321
São Paulo,35.0,2020-09-16,202038,46289333.0,45919049.0,False,False,909428,1964.6599800000001,2020-09-16,0.0366,33253,SP,8157,290
São Paulo,35.0,2020-09-17,202038,46289333.0,45919049.0,False,False,916821,1980.63126,2020-09-17,0.0365,33472,SP,7393,219
